child,parent,exchange_id,n_total_fnn,n_measured_fnn,n_class_2or3,p_class_2or3,section_speed_threshold_average,log_p_value,cni_present,n_unique_cni,cni_ids,cni_re_report_counts,cni_toms_initiation_ts,truck_roll_count_3m,truck_roll_count_6m,truck_roll_count_12m,truck_roll_count_24m,nbn_rfs_3m_count,nbn_rfs_6m_count,nbn_rfs_12m_count,nbn_rfs_24m_count,nbn_rfs_more_than_24m_count,nbn_rfs_already_passed_count,ccp_flag
Cable:16136909,Pillar:P2,PEIN,29,22,11,0.3114943,0.8736099,-1.5404615,0,0,[],[],[],0,3,7,11,20,0,0,0,0,0,b
Cable:16136910;16140268;36124270,Cable:16136908,PEIN,1,1,1,0.3114943,0.2282861,-1.0130999,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136911;16140218,Cable:16138998,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136912;16140219,Cable:16138998,PEIN,1,1,0,0.3114943,1.2222156,-0.2790474,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136913,Cable:16138998,PEIN,2,1,0,0.3114943,1.2747544,-0.2790474,0,0,[],[],[],0,0,0,0,2,0,0,0,0,0,b
Cable:16136915,Cable:16138998,PEIN,1,1,0,0.3114943,1.2417844,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136916;16140207,Cable:16136946,PEIN,1,1,0,0.3114943,1.2200264,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136917;16140208,Cable:16136946,PEIN,1,1,0,0.3114943,1.2793735,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136918;16140223,Cable:16136946,PEIN,1,1,0,0.3114943,1.4134717,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136919,Cable:16136946,PEIN,2,1,0,0.3114943,1.1027281,-0.2790474,0,0,[],[],[],0,0,0,0,2,0,0,0,0,0,b
Cable:16136920;16140222,Cable:16136919,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136921;16137437;16137782,Pillar:P2,PEIN,28,16,3,0.3114943,1.3016653,-0.0833782,0,0,[],[],[],1,5,9,9,8,0,0,0,2,6,b
Cable:16136921;16137437;16137782,Cable:16136892,PEIN,28,16,3,0.3114943,1.3016653,-0.0833782,0,0,[],[],[],1,5,9,9,8,0,0,0,2,6,b
Cable:16136922,Cable:16136946,PEIN,20,16,4,0.3114943,1.0636379,-0.1869106,0,0,[],[],[],2,3,4,8,16,0,0,0,0,0,b
Cable:16136923,Cable:16136922,PEIN,12,10,2,0.3114943,1.1162328,-0.14511,0,0,[],[],[],2,3,4,7,11,0,0,0,0,0,b
Cable:16136924,Cable:16136923,PEIN,6,6,2,0.3114943,1.0643246,-0.4212047,0,0,[],[],[],0,0,0,3,5,0,0,0,0,0,b
Cable:16136925;16140227,Cable:16136924,PEIN,1,1,0,0.3114943,1.2523576,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136926;16140230,Cable:16136924,PEIN,1,1,0,0.3114943,1.1540414,-0.2790474,0,0,[],[],[],0,0,0,3,1,0,0,0,0,0,b
Cable:16136927;16140229,Cable:16136924,PEIN,1,1,0,0.3114943,1.2284346,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136929;16140232,Cable:16136924,PEIN,1,1,1,0.3114943,0.4802213,-1.0130999,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136930,Cable:16136924,PEIN,2,2,1,0.3114943,1.1354463,-0.6370686,0,0,[],[],[],0,0,0,0,2,0,0,0,0,0,b
Cable:16136931;16140226,Cable:16136930,PEIN,1,1,1,0.3114943,0.9436319,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136932;16140260,Cable:16136922,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136933;16140261,Cable:16136922,PEIN,1,1,1,0.3114943,0.2290828,-1.0130999,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136935;16140262,Cable:16136922,PEIN,1,1,0,0.3114943,1.2991611,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136936;16140273,Cable:16136922,PEIN,1,1,1,0.3114943,0.5259321,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136937;16140209,Cable:16136922,PEIN,1,1,0,0.3114943,1.2443657,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136939;16140206,Cable:16136923,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136940,Cable:16136923,PEIN,2,2,0,0.3114943,1.1699443,-0.1715846,0,0,[],[],[],2,2,2,2,2,0,0,0,0,0,b
Cable:16136941;16140205,Cable:16136940,PEIN,1,1,0,0.3114943,1.2222156,-0.2790474,0,0,[],[],[],1,1,1,1,1,0,0,0,0,0,b
Cable:16136942;16140203,Cable:16136940,PEIN,1,1,0,0.3114943,1.117673,-0.2790474,0,0,[],[],[],1,1,1,1,1,0,0,0,0,0,b
Cable:16136945,Pillar:P2,PEIN,41,28,4,0.3114943,1.1470418,-0.0125575,0,0,[],[],[],2,4,6,10,32,0,0,0,0,0,b
Cable:16136945,Cable:16136891,PEIN,41,28,4,0.3114943,1.1470418,-0.0125575,0,0,[],[],[],2,4,6,10,32,0,0,0,0,0,b
Cable:16136946,Cable:16136945,PEIN,39,28,4,0.3114943,1.1470418,-0.0125575,0,0,[],[],[],2,3,5,9,31,0,0,0,0,0,b
Cable:16136948,Cable:16136946,PEIN,14,8,0,0.3114943,1.2562376,-0.0153679,0,0,[],[],[],0,0,1,1,10,0,0,0,0,0,b
Cable:16136950;16137953,Main Cable:2,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136951,Main Cable:2,PEIN,290,190,56,0.3114943,1.030753,-0.1692249,0,0,[],[],[],8,25,53,64,157,0,0,0,9,2,b
Cable:16136952;16137041,Cable:16136951,PEIN,80,54,12,0.3114943,1.0874895,-0.0389377,0,0,[],[],[],4,10,19,22,33,0,0,0,8,2,b
Cable:16136953,Cable:16136951,PEIN,29,20,6,0.3114943,1.0399176,-0.3048303,0,0,[],[],[],4,6,18,18,16,0,0,0,0,0,b
Cable:16136954,Cable:16136951,PEIN,155,99,35,0.3114943,0.9841422,-0.7611798,0,0,[],[],[],0,9,15,22,93,0,0,0,0,0,b
Cable:16136955,Cable:16136954,PEIN,83,49,9,0.3114943,1.0552798,-0.0121404,0,0,[],[],[],0,2,4,6,49,0,0,0,0,0,b
Cable:16136957,Cable:16136954,PEIN,72,50,26,0.3114943,0.9147267,-3.0040017,0,0,[],[],[],0,7,11,16,44,0,0,0,0,0,b
Cable:16136959;16136960;16136961,Main Cable:2,PEIN,282,176,55,0.3114943,1.0614922,-0.3257802,0,0,[],[],[],15,26,60,81,165,0,0,0,2,5,b
Cable:16136963;16136964;16136965,Cable:16136959;16136960;16136961,PEIN,215,133,45,0.3114943,1.0551825,-0.6202579,0,0,[],[],[],12,23,52,71,127,0,0,0,1,5,b
Cable:16136969,Main Cable:1,PEIN,262,150,45,0.3114943,1.187955,-0.2201598,0,0,[],[],[],12,23,48,62,118,0,0,0,2,15,b
Cable:16136970,Cable:16136969,PEIN,35,12,2,0.3114943,1.2497161,-0.0853895,0,0,[],[],[],1,1,1,2,11,0,0,0,1,0,b
Cable:16136971,Cable:16136970,PEIN,21,7,1,0.3114943,1.2559775,-0.1153527,0,0,[],[],[],0,0,0,1,9,0,0,0,1,0,b
